Code;track_name;artist(s)_name;artist_count;released_year;released_month;in_spotify_playlists;streams;key;mode;danceability_%;cover_url
715;My Mind & Me;Selena Gomez;1;2022;11;953;91473363;A;Major;60;https://i.scdn.co/image/ab67616d0000b2730f5397dc6aa91374897182e0
716;A Veces (feat. Feid);Feid, Paulo Londra;2;2022;11;573;73513683;C#;Major;80;Not Found
717;Alone;Burna Boy;1;2022;11;782;96007391;E;Minor;61;https://i.scdn.co/image/ab67616d0000b273992a1f56ac5382848277cff2
718;Kill Bill;SZA;1;2022;12;8109;1163093654;G#;Major;64;https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
719;Creepin';The Weeknd, 21 Savage, Metro Boomin;3;2022;12;6036;843957510;C#;Minor;71;https://i.scdn.co/image/ab67616d0000b273703d523982199b2d1f2c77f5
720;People;Libianca;1;2022;12;3506;373199958;A#;Minor;59;https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735
721;Yandel 150;Yandel, Feid;2;2022;12;3618;585695368;F#;Minor;78;https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
722;Snooze;SZA;1;2022;12;2839;399686758;F;Major;56;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
723;Too Many Nights (feat. Don Toliver & with Future);Future, Metro Boomin, Don Toliver;3;2022;12;2110;286400165;G;Minor;68;https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
724;Tak Segampang Itu;Anggi Marito;1;2022;12;213;179659294;F;Major;51;https://i.scdn.co/image/ab67616d0000b2732844c4e4e984ea408ab7fd6f
725;Que Vuelvas;Carin Leon, Grupo Frontera;2;2022;12;763;2762;A#;Major;49;https://i.scdn.co/image/ab67616d0000b2735c7336d25ca101fbb0855647
726;Trance (with Travis Scott & Young Thug);Travis Scott, Young Thug, Metro Boomin;3;2022;12;1682;276259178;C#;Minor;75;https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
727;Bebe Dame;Fuerza Regida, Grupo Frontera;2;2022;12;849;367316268;G;Major;54;https://i.scdn.co/image/ab67616d0000b2735f3aef5159749e4b61686670
728;Ditto;NewJeans;1;2022;12;1154;397582059;F#;Minor;81;https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f
729;Superhero (Heroes & Villains) [with Future & Chris Brown];Future, Chris Brown, Metro Boomin;3;2022;12;2959;401036314;F;Minor;72;https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
730;CHORRITO PA LAS ANIMAS;Feid;1;2022;12;2321;345031710;G#;Minor;74;https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99
731;Ch y la Pizza;Fuerza Regida, Natanael Cano;2;2022;12;536;288101651;G#;Major;66;https://i.scdn.co/image/ab67616d0000b273cdbbe3160616f7c85e2eb2c8
732;MERCHO;Migrantes, LiL CaKe, Nico Valdi;3;2022;12;1267;231332117;F#;Minor;84;Not Found
733;Igualito a Mi Apï¿;Fuerza Regida, Peso Pluma;2;2022;12;265;158950978;E;Minor;76;Not Found
734;En Paris;El Chachito, Junior H;2;2022;12;406;198275403;D#;Minor;70;https://i.scdn.co/image/ab67616d0000b27354c372ef8e7b53bb3c932ac5
735;Gato de Noche;Nengo Flow, Bad Bunny;2;2022;12;2651;304118600;G#;Major;89;https://i.scdn.co/image/ab67616d0000b273ed132404686f567c8f793058
736;Leï¿½;Marï¿½ï¿½lia Mendo;1;2022;12;993;267789608;F#;Major;74;Not Found
737;Marisola - Remix;Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile;5;2022;12;1845;223582566;C#;Major;77;Not Found
738;Low;SZA;1;2022;12;1911;272377463;;Minor;70;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
739;One Thing At A Time;Morgan Wallen;1;2022;12;811;148469433;G;Major;61;https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
740;LET GO;Central Cee;1;2022;12;2301;298063749;D;Minor;74;https://i.scdn.co/image/ab67616d0000b273cbb3701743a568e7f1c4e967
741;PLAYA DEL INGLï¿½;Myke Towers, Quevedo;2;2022;12;1701;221409663;G;Minor;79;Not Found
742;Nobody Gets Me;SZA;1;2022;12;2536;284908316;G;Major;36;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
743;Zona De Perigo;Leo Santana;1;2022;12;531;134294498;F;Major;81;https://i.scdn.co/image/ab67616d0000b2737fc5a85369c7df7f5f63efa3
744;Sem Alianï¿½ï¿½a no ;MC Xenon, Os Gemeos da Putaria;2;2022;12;454;93587665;C#;Major;53;Not Found
745;Jhoome Jo Pathaan;Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar;6;2022;12;138;1365184;G;Major;82;Not Found
746;"Besharam Rang (From ""Pathaan"")";Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani;6;2022;12;130;140187018;G#;Minor;77;Not Found
747;Blind;SZA;1;2022;12;1484;163284000;A;Minor;46;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
748;Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage];Travis Scott, 21 Savage, Metro Boomin;3;2022;12;1602;195516622;G;Minor;49;https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
749;Seek & Destroy;SZA;1;2022;12;1007;98709329;C#;Major;65;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
750;Love Language;SZA;1;2022;12;1127;110849052;A;Minor;71;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
751;Used (feat. Don Toliver);SZA, Don Toliver;2;2022;12;1042;94005786;A#;Minor;73;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
752;Ghost in the Machine (feat. Phoebe Bridgers);SZA, Phoebe Bridgers;2;2022;12;1634;110073250;F#;Major;62;Not Found
753;Special;SZA;1;2022;12;906;88092256;;Major;60;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
754;SOS;SZA;1;2022;12;827;73981293;G;Minor;51;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
755;Open Arms (feat. Travis Scott);SZA, Travis Scott;2;2022;12;1420;155653938;A;Major;67;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
756;Gone Girl;SZA;1;2022;12;892;65362788;F;Major;43;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
757;F2F;SZA;1;2022;12;989;67540165;D;Major;53;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
758;Notice Me;SZA;1;2022;12;819;62019074;F;Major;72;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
759;Wild Flower (with youjeen);RM;1;2022;12;353;135611421;G#;Major;49;https://i.scdn.co/image/ab67616d0000b273fa60e8a8d5ca09efc6098175
760;Raindrops (Insane) [with Travis Scott];Travis Scott, Metro Boomin;2;2022;12;880;110649992;G#;Major;80;Not Found
761;Smoking on my Ex Pack;SZA;1;2022;12;811;57144458;G#;Major;47;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
762;Conceited;SZA;1;2022;12;899;56870689;C#;Major;79;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
763;Too Late;SZA;1;2022;12;714;49262961;B;Major;45;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
